N,P,K,temperature,humidity,ph,rainfall,label
25.5,19.1,14.9,22.84,93.57,7.9,116.23,orange
110.3,26.7,26.3,25.74,55.16,7.16,118.86,coffee
110.8,37.5,25.0,22.62,75.93,6.3,80.73,cotton
47.2,49.7,43.9,22.7,92.42,6.73,207.55,papaya
12.4,45.7,17.2,27.15,56.86,6.55,36.37,mothbeans
40.4,133.2,197.3,24.65,92.73,6.03,118.52,apple
31.6,21.8,15.1,31.69,94.84,7.94,102.73,orange
93.5,78.7,52.3,27.18,76.34,5.53,125.24,banana
28.8,9.7,6.6,16.93,93.9,6.45,109.42,orange
37.2,79.7,23.4,25.41,65.44,6.64,53.67,lentil
16.1,64.6,23.6,16.05,20.28,5.69,124.35,kidneybeans
32.8,61.5,20.6,34.13,51.88,6.45,170.88,pigeonpeas
81.9,51.4,49.1,19.64,80.9,7.33,262.46,rice
56.2,38.9,22.9,26.49,63.96,6.31,80.57,maize
98.1,93.3,51.7,26.58,80.25,6.59,103.72,banana
50.2,51.1,52.0,36.83,90.38,6.5,228.95,papaya
99.2,17.5,56.5,26.82,87.98,6.04,51.26,watermelon
31.4,58.2,14.8,27.87,87.06,6.33,36.37,mungbean
26.8,44.8,25.8,27.98,86.0,6.25,45.68,mungbean
61.6,50.4,21.5,24.06,61.52,5.59,74.48,maize
23.0,23.0,33.8,28.7,97.21,6.28,181.73,coconut
19.9,63.1,18.3,18.66,64.84,6.7,47.88,lentil
79.6,56.8,48.3,21.08,89.95,6.7,181.29,rice
34.5,61.3,18.1,32.17,66.85,7.36,69.22,blackgram
33.0,118.5,198.4,32.27,81.42,6.41,73.7,grapes
51.3,61.5,77.2,18.96,22.47,7.1,77.79,chickpea
92.6,8.4,50.3,28.13,94.51,6.86,21.04,muskmelon
89.3,24.2,55.2,28.36,93.35,6.1,25.3,muskmelon
90.5,21.8,46.3,29.1,89.59,6.36,29.44,muskmelon
85.3,56.1,38.6,24.19,92.94,7.28,183.5,jute
23.0,25.2,9.3,17.23,96.82,7.24,110.28,orange
95.9,18.9,47.2,28.7,94.99,6.08,33.07,muskmelon
29.1,10.4,45.3,18.83,89.29,6.72,107.59,pomegranate
33.8,65.9,23.8,20.34,64.91,7.09,40.13,lentil
86.1,15.9,48.3,29.48,91.03,6.57,30.39,muskmelon
63.5,63.5,52.3,42.8,89.58,7.08,185.93,papaya
52.7,53.1,53.3,39.04,92.32,6.45,226.25,papaya
32.8,69.2,17.3,19.54,66.03,6.61,60.2,lentil
40.6,18.3,40.3,23.16,91.64,6.26,110.96,pomegranate
18.4,51.8,23.0,27.35,81.3,6.65,34.75,mungbean
89.2,51.6,16.7,26.06,64.46,5.25,66.34,maize
34.1,67.2,19.6,36.26,43.24,5.13,118.59,pigeonpeas
33.1,17.2,32.8,28.9,100,5.81,181.86,coconut
24.2,38.3,24.7,26.78,46.63,6.48,55.24,mothbeans
108.0,51.7,20.7,23.7,85.38,7.83,87.07,cotton
61.9,48.8,47.3,25.64,94.33,7.19,179.83,papaya
28.3,23.5,27.1,29.3,98.44,6.44,218.19,coconut
95.9,21.8,52.3,24.4,81.58,6.09,47.39,watermelon
64.3,57.5,54.6,31.18,93.78,6.58,247.31,papaya
53.2,71.2,81.0,20.83,10.94,7.75,80.63,chickpea
15.8,48.8,25.1,26.09,81.16,6.85,47.96,mungbean
67.9,59.5,39.4,26.4,76.38,6.45,179.5,jute
39.4,57.6,23.7,23.63,23.38,5.76,147.5,kidneybeans
35.1,56.7,18.1,31.49,61.78,6.56,124.16,pigeonpeas
99.5,31.5,50.7,28.01,93.88,6.59,29.47,muskmelon
23.0,9.4,5,31.78,91.74,6.77,113.02,orange
37.6,8.4,31.5,28.32,100,5.88,149.07,coconut
107.9,14.7,54.9,26.61,90.81,6.94,24.09,muskmelon
81.7,52.0,49.4,20.72,79.83,6.39,190.25,rice
79.4,58.2,35.7,24.64,73.44,6.4,195.97,jute
30.0,123.6,204.1,8.4,82.72,6.42,69.9,grapes
31.8,66.3,17.7,23.7,20.44,5.35,132.57,kidneybeans
37.7,16.2,26.8,32.94,49.29,5.64,94.84,mango
16.1,34.2,21.9,28.79,83.16,6.94,44.81,mungbean
8.3,126.7,194.5,22.71,78.6,6.4,71.34,grapes
96.1,9.9,48.7,25.29,88.86,6.07,41.4,watermelon
96.0,73.8,50.4,29.7,75.93,5.13,117.79,banana
27.8,15.7,40.2,18.02,92.0,7.08,110.49,pomegranate
54.7,67.5,18.4,27.82,63.35,6.47,78.06,blackgram
61.2,45.4,40.2,24.89,86.68,5.84,244.75,rice
28.7,64.7,23.1,22.06,19.84,5.81,86.14,kidneybeans
55.0,44.7,49.8,25.0,89.81,6.69,206.96,papaya
21.5,141.4,197.4,22.96,92.69,5.64,108.0,apple
21.8,67.1,77.2,18.1,19.22,8.18,88.96,chickpea
36.6,71.4,24.0,20.46,19.23,5.49,142.06,kidneybeans
91.8,44.0,46.2,19.48,93.31,6.13,258.83,rice
36.1,79.3,18.5,33.93,63.8,6.59,135.61,pigeonpeas
80.2,5.8,51.7,25.04,91.93,6.9,43.61,watermelon
80.4,51.6,25.8,24.94,74.11,6.82,64.07,maize
130.8,40.1,21.6,20.38,75.25,6.54,91.25,cotton
21.6,139.0,203.0,24.33,90.97,6.56,118.47,apple
103.0,49.1,17.6,22.23,83.56,6.12,92.73,cotton
43.5,70.3,22.5,23.42,64.46,7.32,44.54,lentil
17.8,76.4,29.3,35.01,31.53,5.54,130.23,pigeonpeas
34.1,10.7,44.2,23.16,93.98,5.75,112.06,pomegranate
47.1,78.7,77.2,18.15,18.0,6.01,90.39,chickpea
91.3,39.4,16.9,28.54,57.09,6.93,85.06,maize
43.8,62.3,82.8,20.79,19.01,7.17,72.84,chickpea
27.7,50.7,17.8,25.16,45.57,5.31,44.41,mothbeans
105.2,91.3,50.0,28.29,87.6,6.22,90.21,banana
83.6,14.5,46.7,25.4,84.98,6.71,40.03,watermelon
22.1,54.0,13.0,31.8,63.8,5.55,39.7,mothbeans
46.0,126.4,195.0,17.01,81.45,6.42,71.24,grapes
96.7,29.3,31.5,25.01,70.84,7.34,142.85,coffee
23.9,29.1,15.1,32.65,90.14,6.28,102.46,orange
31.3,69.4,24.4,22.97,20.64,5.65,73.36,kidneybeans
60.0,48.2,54.1,43.04,88.42,6.4,214.42,papaya
39.0,18.1,5.5,28.63,97.82,6.88,108.43,orange
102.4,37.4,21.2,25.0,80.75,6.98,91.85,cotton
87.4,62.4,39.6,23.92,87.45,7.16,157.54,jute
33.6,63.0,87.6,17.17,14.75,8.63,100.05,chickpea
34.5,133.6,197.9,20.67,83.44,6.06,81.65,grapes
27.8,19.6,39.8,23.54,87.41,6.86,107.44,pomegranate
29.5,65.8,84.0,23.39,16.86,8.4,76.92,chickpea
35.4,54.7,52.9,23.26,88.85,6.42,191.94,papaya
22.5,7.8,5,31.4,94.44,7.45,107.91,orange
48.5,73.9,21.8,31.19,62.28,7.1,77.93,blackgram
51.0,73.2,81.7,18.67,19.18,6.3,65.84,chickpea
35.9,56.2,24.7,31.89,55.3,5.43,135.81,pigeonpeas
84.7,54.6,47.4,22.08,96.41,6.65,251.76,rice
35.6,39.4,23.8,29.88,85.6,6.43,64.62,mungbean
31.2,24.0,27.6,28.28,93.88,6.64,181.28,coconut
106.9,77.8,50.5,26.76,83.75,5.31,106.86,banana
25.0,11.3,27.3,24.91,98.91,5.75,219.78,coconut
118.1,75.8,46.3,26.43,80.72,6.52,90.74,banana
30.0,78.6,21.2,21.55,19.81,5.67,107.92,kidneybeans
138.2,41.3,20.3,26.91,76.67,6.82,89.29,cotton
42.3,12.6,26.7,27.64,97.74,6.11,158.89,coconut
111.0,73.2,54.2,26.0,80.53,6.27,100.64,banana
94.4,59.9,18.2,23.39,62.17,6.49,81.93,maize
24.2,56.4,16.9,28.99,55.64,8.85,58.73,mothbeans
95.5,52.6,39.7,20.76,80.1,7.0,251.27,rice
23.1,123.8,199.6,24.14,92.21,6.48,116.25,apple
33.0,73.7,19.1,23.08,15.38,5.5,147.85,kidneybeans
60.1,44.1,34.8,25.12,94.78,6.07,211.13,rice
23.8,30.3,32.6,32.05,52.75,5.5,88.08,mango
20.4,27.9,24.6,30.85,44.58,6.97,86.05,mango
44.8,69.6,46.3,23.89,93.92,6.51,179.83,papaya
21.8,25.9,31.1,32.57,55.36,5.99,90.56,mango
57.0,77.6,83.1,20.44,15.02,8.4,75.79,chickpea
52.7,75.7,19.6,27.96,68.04,6.83,69.79,blackgram
106.9,29.3,50.1,23.05,82.33,7.0,46.25,watermelon
80.5,5.4,50.6,29.92,96.66,6.64,27.45,muskmelon
21.1,45.6,25.0,26.8,81.39,6.86,48.38,mungbean
48.3,59.6,17.2,32.98,67.96,7.1,72.47,blackgram
23.9,22.7,35.5,27.6,55.28,6.64,100.38,mango
24.4,69.8,19.7,28.72,69.18,6.87,41.48,lentil
136.2,50.7,19.4,25.62,76.63,6.14,60.01,cotton
105.0,25.2,50.0,30.29,91.68,6.3,21.06,muskmelon
14.1,25.5,30.2,33.69,47.46,5.02,83.73,mango
18.8,58.3,21.7,28.7,83.86,6.93,58.3,mungbean
104.7,73.7,51.0,28.72,82.31,6.2,114.05,banana
24.5,119.3,203.1,32.18,85.54,5.83,76.67,grapes
30.0,64.3,25.4,29.41,65.43,6.02,105.68,pigeonpeas
21.1,50.4,21.7,27.48,57.58,6.31,60.38,mothbeans
37.1,21.6,37.9,22.87,86.73,6.27,116.33,pomegranate
26.5,74.6,80.1,18.7,18.36,7.4,76.64,chickpea
14.2,28.2,29.2,26.2,45.05,5.24,96.59,mango
82.8,43.8,40.6,26.44,85.43,6.96,149.39,jute
75.2,38.1,42.5,26.06,85.44,6.65,206.94,rice
25.2,43.5,13.7,26.46,88.2,6.26,38.91,mungbean
32.0,28.1,30.5,27.36,96.36,5.98,168.63,coconut
14.7,128.3,198.8,39.81,80.0,6.19,77.13,grapes
61.8,50.1,40.1,22.57,82.4,7.0,165.47,jute
17.3,33.6,28.0,30.76,48.39,6.21,96.14,mango
18.6,131.4,198.8,28.76,82.72,5.77,66.29,grapes
8.6,21.3,34.2,30.75,43.86,6.7,87.13,mango
18.9,24.7,24.5,35.26,44.17,6.98,84.17,mango
120.5,44.8,21.1,22.87,77.79,7.27,98.16,cotton
39.9,74.2,13.4,29.61,60.87,7.28,70.58,blackgram
35.8,28.5,40.8,24.18,93.09,5.54,110.9,pomegranate
42.2,142.9,199.5,23.44,95.83,5.98,116.65,apple
69.4,43.4,19.2,23.65,59.48,6.2,65.27,maize
76.8,55.7,41.9,20.62,95.79,7.13,230.05,rice
28.8,14.8,39.5,23.4,90.97,7.02,104.9,pomegranate
31.7,19.6,7.6,23.6,91.5,7.16,121.02,orange
4.1,139.5,203.9,23.07,91.81,5.91,99.02,apple
100.2,84.8,51.5,28.96,86.87,6.5,105.95,banana
31.8,13.5,13.2,22.67,91.38,7.32,100.16,orange
82.3,10.2,54.0,28.02,95.39,5.81,23.3,muskmelon
63.3,33.4,44.5,26.0,71.13,6.01,205.48,jute
53.8,61.0,80.6,18.26,16.67,7.67,74.48,chickpea
84.6,39.8,18.3,23.25,60.86,6.33,100.53,maize
49.3,66.3,48.5,32.0,88.01,6.59,184.42,papaya
41.9,71.4,23.5,32.07,61.29,6.08,71.01,blackgram
11.2,7.7,37.0,22.34,93.17,5.94,106.3,pomegranate
104.1,57.0,16.5,23.66,76.07,7.43,73.71,cotton
115.6,31.9,48.7,24.29,87.85,6.93,50.0,watermelon
108.4,80.7,56.3,28.92,74.48,5.95,99.28,banana
37.2,71.2,75.9,19.81,17.63,6.73,75.88,chickpea
58.8,73.7,17.5,28.45,69.0,7.01,55.75,blackgram
14.1,46.8,16.0,27.76,38.71,7.96,41.07,mothbeans
26.4,41.9,22.2,27.25,87.99,6.67,37.48,mungbean
102.6,25.0,43.8,29.23,91.18,6.6,22.71,muskmelon
38.9,41.5,19.3,27.84,82.14,7.13,51.48,mungbean
19.8,122.7,195.4,18.2,80.38,6.45,72.49,grapes
85.8,13.7,53.9,25.04,88.21,6.07,49.75,watermelon
98.1,50.7,41.5,23.65,76.54,7.74,161.41,jute
17.0,46.6,18.7,31.06,41.09,5.03,40.46,mothbeans
40.0,59.3,23.2,26.42,63.46,6.64,58.98,blackgram
99.1,87.9,47.7,29.2,81.5,6.19,101.66,banana
42.3,21.3,26.2,27.72,47.68,4.52,102.23,mango
27.5,126.8,200.4,21.25,93.99,5.96,103.33,apple
73.4,51.9,37.2,25.57,79.38,6.7,257.61,rice
104.8,41.2,32.8,24.98,61.13,6.27,132.39,coffee
15.1,16.5,31.1,31.79,51.22,5.9,94.96,mango
25.9,27.4,29.1,26.74,95.05,6.16,193.84,coconut
111.7,26.6,46.2,26.62,92.38,6.52,30.77,muskmelon
22.2,75.0,17.6,18.35,18.01,5.91,68.55,kidneybeans
123.4,57.9,20.4,23.06,81.45,7.88,59.61,cotton
85.1,27.1,50.8,28.93,94.65,6.03,14.84,muskmelon
17.9,11.7,38.8,21.67,87.11,5.94,111.5,pomegranate
30.1,74.7,28.5,15.93,22.15,5.62,142.97,kidneybeans
91.4,15.3,30.2,26.71,59.32,7.16,179.21,coffee
109.6,55.3,20.8,24.22,79.38,6.16,86.09,cotton
20.7,129.8,196.1,20.87,95.1,6.13,128.34,apple
22.1,67.2,26.8,17.67,20.59,5.81,94.33,kidneybeans
19.4,76.0,20.7,37.13,49.85,6.56,106.71,pigeonpeas
7.6,24.6,42.9,21.34,86.8,6.19,97.79,pomegranate
17.4,27.2,35.8,19.66,86.53,6.83,99.0,pomegranate
78.3,45.1,18.5,22.69,63.76,7.18,75.81,maize
33.1,140.3,198.4,15.53,80.27,6.11,63.74,grapes
24.5,78.5,24.2,27.66,63.53,6.77,38.2,lentil
107.9,42.3,17.0,24.26,78.13,7.85,88.93,cotton
20.6,131.6,203.7,42.59,82.85,6.6,76.53,grapes
116.6,16.4,33.6,25.38,60.17,6.2,144.48,coffee
26.2,11.3,37.6,23.92,87.95,6.33,118.32,pomegranate
28.7,62.1,16.3,22.44,59.89,3.75,44.26,mothbeans
65.0,63.2,53.9,23.51,92.53,6.77,176.47,papaya
58.4,73.4,19.8,32.3,61.8,6.65,66.55,blackgram
22.9,25.4,10.1,28.67,87.19,7.7,111.88,orange
111.0,28.3,53.3,27.62,92.75,6.09,28.57,muskmelon
117.2,85.4,46.7,30.15,82.63,5.98,93.65,banana
19.7,25.7,39.3,21.06,86.87,6.95,105.58,pomegranate
93.0,29.6,32.5,24.03,52.77,6.85,171.42,coffee
15.6,40.0,18.2,27.5,81.55,6.19,59.77,mungbean
16.6,30.5,23.0,28.26,42.6,6.09,99.35,mango
111.6,28.9,49.8,26.31,83.17,6.22,42.8,watermelon
34.1,77.7,16.1,27.42,58.68,6.98,43.86,lentil
51.8,72.3,27.2,27.24,61.21,6.68,63.06,blackgram
40.1,20.8,5,31.99,92.22,6.28,98.98,orange
25.5,35.3,24.9,28.98,84.92,6.23,48.41,mungbean
117.7,88.7,46.8,25.85,80.32,6.15,102.2,banana
76.3,25.7,55.7,25.57,82.76,6.75,48.62,watermelon
19.3,129.1,199.5,39.2,82.11,6.26,70.68,grapes
24.8,74.0,18.2,23.06,64.31,7.72,34.41,lentil
38.2,50.2,45.5,31.44,91.76,6.55,144.7,papaya
35.7,25.9,38.5,19.09,96.71,6.31,108.36,pomegranate
61.1,54.4,45.2,27.52,90.95,5.75,235.39,rice
67.1,62.7,49.1,29.81,92.41,6.53,208.95,papaya
102.7,97.7,50.5,25.79,80.1,6.14,96.74,banana
96.5,9.6,48.3,25.99,83.8,6.55,39.22,watermelon
80.9,8.7,54.0,30.19,92.15,5.84,29.68,muskmelon
36.5,62.9,16.8,22.01,15.03,5.76,132.67,kidneybeans
25.6,60.1,23.8,28.98,58.86,5.87,135.58,pigeonpeas
66.1,53.6,15.4,22.83,59.31,5.9,87.25,maize
36.1,36.6,17.6,25.87,91.6,7.24,32.78,mungbean
99.3,53.0,19.6,25.19,73.63,6.72,67.63,maize
38.7,143.8,201.7,22.58,89.51,5.37,125.63,apple
36.9,126.9,197.4,39.6,87.06,5.61,68.85,grapes
96.5,20.4,34.6,24.81,49.74,5.95,174.05,coffee
25.8,134.5,199.3,15.8,84.42,5.97,58.92,grapes
33.8,74.3,20.5,33.92,48.64,7.09,118.35,pigeonpeas
15.6,59.9,17.5,21.11,18.43,5.29,92.64,kidneybeans
29.7,45.8,13.4,27.37,51.72,4.66,47.09,mothbeans
59.5,57.7,41.6,25.62,76.65,6.07,180.7,jute
28.6,142.7,196.0,20.92,93.69,5.97,127.84,apple
32.4,143.8,204.9,15.48,85.27,5.67,84.04,grapes
81.2,16.1,50.4,25.9,88.99,6.4,40.03,watermelon
100.1,55.9,18.7,25.48,73.35,6.7,83.06,maize
98.1,49.3,40.0,23.57,89.57,6.15,190.82,jute
84.3,48.8,19.3,27.09,65.68,6.5,67.72,maize
27.8,49.3,12.3,26.61,61.4,3.5,46.1,mothbeans
12.2,124.6,198.3,21.46,92.32,5.98,109.98,apple
23.1,56.0,20.8,29.87,86.85,6.51,45.79,mungbean
10.7,57.6,14.9,28.44,65.37,7.03,56.23,mothbeans
27.4,19.8,27.2,30.41,50.29,4.91,92.67,mango
79.6,48.9,19.4,22.0,67.63,5.42,96.21,maize
32.0,60.7,80.8,21.22,20.21,7.77,81.64,chickpea
19.2,140.4,197.8,16.61,79.11,5.84,75.86,grapes
28.9,17.4,9.3,18.53,91.85,7.04,111.25,orange
61.8,58.6,52.4,34.7,91.36,6.88,203.19,papaya
33.3,20.7,31.9,35.58,51.67,5.85,101.37,mango
86.9,50.8,22.9,27.83,57.83,6.25,90.13,maize
85.7,39.5,45.5,26.28,67.61,7.11,159.19,jute
96.3,17.9,55.1,27.36,87.34,6.91,55.96,watermelon
12.9,19.8,24.8,24.59,92.83,6.14,151.07,coconut
34.8,60.1,50.9,38.91,94.51,6.94,177.48,papaya
94.6,8.6,45.8,25.71,89.94,6.15,54.33,watermelon
13.1,65.4,14.3,15.62,18.44,6.18,98.9,kidneybeans
37.2,74.9,17.7,28.4,61.57,7.06,49.57,lentil
29.3,58.5,14.0,21.94,18.23,5.25,94.44,kidneybeans
72.0,41.4,49.0,25.85,76.49,6.86,180.56,rice
134.3,42.5,26.4,26.68,86.48,7.68,100.62,cotton
42.0,64.6,17.6,28.77,68.01,7.41,67.34,blackgram
16.2,39.1,15.9,25.3,39.14,6.56,66.75,mothbeans
24.5,136.3,201.0,38.29,82.15,5.67,81.28,grapes
81.6,18.8,49.5,24.95,84.27,6.8,58.7,watermelon
20.4,75.7,18.9,23.85,69.33,6.94,39.98,lentil
22.2,26.7,25.6,29.62,53.69,6.84,101.53,mango
11.1,45.0,19.7,27.16,83.7,6.77,53.7,mungbean
17.3,48.5,16.7,29.97,80.26,6.5,52.02,mungbean
90.4,92.9,48.5,26.36,85.34,6.17,79.39,banana
75.9,54.7,22.1,21.25,67.27,6.43,69.64,maize
130.8,54.3,18.7,23.11,78.5,6.65,74.9,cotton
31.5,25.3,36.7,28.63,47.66,4.29,83.95,mango
34.9,63.3,14.5,33.37,58.28,7.11,71.49,blackgram
113.7,17.4,27.8,22.98,52.86,7.16,152.04,coffee
36.3,60.4,15.7,20.12,22.14,5.82,103.13,kidneybeans
114.4,12.0,44.3,26.09,87.92,6.03,63.1,watermelon
20.1,37.3,17.8,29.26,90.15,6.15,55.38,mungbean
16.9,22.2,10.0,18.68,91.31,7.05,119.42,orange
14.2,43.0,22.9,26.23,41.72,7.8,34.46,mothbeans
70.2,50.4,22.8,28.14,72.17,5.98,68.21,maize
113.0,14.9,48.1,29.29,94.57,6.72,24.05,muskmelon
28.7,121.8,201.8,23.79,89.19,5.94,114.87,apple
30.8,52.4,53.4,30.37,97.32,6.7,229.32,papaya
16.8,72.3,17.9,31.1,40.76,6.82,123.15,pigeonpeas
37.9,24.8,41.1,23.3,95.79,7.01,119.23,pomegranate
40.3,12.5,18.6,16.66,92.23,7.52,110.37,orange
42.9,71.8,80.9,17.87,17.46,6.69,90.37,chickpea
89.4,27.7,46.8,27.38,92.17,6.02,24.05,muskmelon
87.1,22.7,31.8,25.31,53.66,6.14,119.58,coffee
35.0,15.8,30.9,26.13,98.0,6.28,214.9,coconut
16.5,131.1,191.9,41.65,83.22,5.75,62.11,grapes
27.9,62.0,25.6,26.72,64.59,7.01,46.53,lentil
63.9,44.1,43.6,23.84,76.01,7.27,158.79,jute
22.2,43.3,15.9,27.59,87.86,6.51,56.75,mungbean
28.0,138.8,202.4,22.85,90.75,6.04,109.92,apple
25.7,61.9,17.8,32.75,59.59,4.46,117.11,pigeonpeas
57.5,67.9,15.6,29.89,67.88,6.85,51.87,blackgram
32.5,42.3,24.9,26.12,81.96,7.08,34.14,mungbean
98.7,18.8,53.3,29.68,95.8,6.64,35.18,muskmelon
48.6,55.7,50.0,41.18,90.1,6.77,140.55,papaya
21.3,74.3,20.9,23.51,59.43,7.63,48.57,lentil
33.9,22.5,25.3,27.16,95.19,5.98,203.84,coconut
32.1,70.9,27.0,26.47,57.49,4.73,176.8,pigeonpeas
101.2,22.2,30.9,23.62,61.38,7.07,180.21,coffee
20.7,61.3,19.2,36.23,53.0,7.01,111.34,pigeonpeas
26.4,71.0,19.6,23.09,65.16,6.66,42.04,lentil
96.2,12.8,48.3,26.71,93.94,6.0,27.9,muskmelon
108.3,16.3,47.8,28.49,92.15,6.59,21.38,muskmelon
109.0,49.8,21.6,27.16,76.28,6.53,79.42,cotton
68.3,48.9,16.6,25.53,54.75,6.0,67.17,maize
88.0,33.4,44.2,23.93,87.84,5.58,185.47,rice
107.2,49.2,24.3,21.12,74.04,7.75,66.46,cotton
25.2,56.8,15.8,31.62,66.04,6.82,72.27,blackgram
79.3,41.0,43.7,25.13,87.33,7.2,168.37,jute
29.1,139.0,197.7,21.4,80.98,6.06,63.55,grapes
129.8,39.7,20.8,24.48,76.83,5.87,80.61,cotton
44.9,44.6,51.4,32.81,93.24,6.7,203.19,papaya
117.2,83.6,51.6,29.02,79.53,6.12,95.73,banana
77.5,50.8,13.3,19.04,59.46,6.27,68.38,maize
87.8,58.0,45.7,24.88,88.45,6.61,190.2,jute
75.4,50.9,19.4,27.64,77.89,6.77,112.78,maize
15.1,59.9,13.5,36.06,34.18,5.04,155.28,pigeonpeas
83.0,15.5,47.8,28.67,89.17,5.96,25.65,muskmelon
26.7,64.5,20.2,18.2,21.56,5.66,103.79,kidneybeans
11.7,52.9,20.7,28.75,58.1,8.63,61.39,mothbeans
117.2,97.3,47.5,27.33,81.91,5.94,112.63,banana
61.7,53.3,49.8,24.56,86.0,6.4,263.22,rice
67.9,68.3,50.2,37.66,93.79,6.94,179.96,papaya
12.7,146.8,203.2,20.77,93.85,6.28,117.24,apple
31.7,33.4,23.5,31.32,51.88,5.09,69.05,mothbeans
16.3,77.5,18.4,27.87,68.82,7.29,49.6,lentil
17.3,8.4,5,24.41,91.24,6.11,113.06,orange
113.9,76.1,49.3,29.57,77.37,6.25,99.28,banana
31.2,8.5,38.2,19.92,88.6,6.4,106.21,pomegranate
113.5,35.6,33.5,26.33,67.1,6.63,193.78,coffee
91.0,79.2,57.5,30.75,75.1,5.86,109.97,banana
53.7,58.8,49.3,43.47,91.67,6.47,210.16,papaya
58.2,81.2,19.4,29.08,66.56,7.04,60.26,blackgram
29.3,18.2,24.9,29.42,99.53,5.4,165.56,coconut
33.4,26.0,34.8,28.94,46.23,4.71,89.43,mango
24.8,70.1,17.7,18.6,21.18,5.6,75.44,kidneybeans
87.7,22.8,48.3,27.59,92.01,5.78,24.59,muskmelon
92.6,41.2,40.6,22.8,84.5,7.2,223.41,rice
16.0,65.0,22.3,22.87,18.34,5.37,69.15,kidneybeans
31.9,80.3,20.0,20.46,23.08,5.42,128.27,kidneybeans
37.2,69.4,83.9,17.65,17.02,6.42,66.51,chickpea
26.2,73.0,78.5,18.61,20.77,6.06,83.54,chickpea
90.8,26.2,46.7,25.48,83.45,6.6,59.97,watermelon
115.8,86.8,55.9,27.4,84.13,6.17,118.09,banana
102.6,87.3,46.1,29.51,87.27,6.24,114.18,banana
34.2,62.4,23.2,31.63,47.89,7.49,121.25,pigeonpeas
32.5,66.7,54.2,31.81,91.78,6.54,168.77,papaya
111.4,16.4,52.6,26.01,76.27,5.85,61.71,watermelon
22.3,48.1,21.6,31.4,61.24,5.85,64.06,mothbeans
36.6,20.6,40.0,22.12,93.93,6.17,109.87,pomegranate
42.8,67.4,76.2,19.5,14.32,6.17,82.67,chickpea
20.3,19.3,28.3,24.99,92.36,6.45,214.84,coconut
55.7,69.3,76.5,18.52,19.36,6.76,72.56,chickpea
113.5,8.7,52.1,29.24,93.64,6.97,23.48,muskmelon
95.4,47.0,18.4,23.93,59.21,6.36,101.33,maize
56.0,53.0,57.5,37.43,94.24,7.15,161.84,papaya
89.3,22.9,27.8,23.82,56.34,6.61,175.48,coffee
100.6,25.1,47.2,28.09,89.58,6.12,23.16,muskmelon
11.9,61.6,18.7,17.83,68.12,7.16,48.14,lentil
35.0,62.8,26.1,23.4,23.36,6.07,131.98,kidneybeans
98.6,20.0,24.4,25.0,65.73,7.29,148.05,coffee
63.6,57.9,86.8,18.65,12.63,6.51,91.1,chickpea
116.1,16.4,53.7,28.64,94.97,6.56,23.15,muskmelon
28.8,56.5,17.3,17.06,21.82,5.64,97.66,kidneybeans
53.7,59.6,80.0,20.81,18.61,7.84,70.59,chickpea
17.6,139.0,201.5,11.79,83.96,5.95,70.15,grapes
118.5,85.5,48.0,28.75,85.91,6.56,98.4,banana
37.9,136.5,193.9,23.85,93.66,5.48,118.39,apple
25.1,141.3,210.0,21.12,91.16,5.72,110.22,apple
28.3,63.4,21.3,34.84,45.92,4.52,165.75,pigeonpeas
37.3,74.6,77.7,21.63,18.41,6.42,74.7,chickpea
109.2,48.9,29.3,23.64,82.69,6.15,98.39,cotton
139.1,42.7,24.0,24.6,77.7,6.66,87.54,cotton
11.9,21.1,13.6,20.41,93.45,7.2,109.62,orange
125.7,39.3,13.7,24.2,71.97,6.89,87.68,cotton
22.9,61.6,21.1,14.32,22.54,5.96,100.87,kidneybeans
87.4,50.2,22.1,25.43,66.38,6.36,67.92,maize
69.1,47.4,41.4,22.38,86.1,7.11,169.95,jute
59.9,67.9,82.5,17.15,17.84,7.83,65.71,chickpea
33.0,71.0,18.5,27.72,51.22,4.76,191.15,pigeonpeas
114.3,42.8,12.7,23.22,79.9,6.57,57.52,cotton
35.0,22.8,35.4,22.26,92.92,6.88,107.95,pomegranate
10.7,22.0,34.8,31.69,52.6,4.65,80.91,mango
28.3,63.3,23.6,35.2,53.45,6.04,103.48,pigeonpeas
21.7,76.0,14.1,24.84,57.57,7.89,38.27,lentil
47.4,22.9,35.6,19.01,93.44,5.29,102.12,pomegranate
112.4,8.6,49.8,28.37,88.75,6.62,33.84,muskmelon
24.2,125.9,200.5,26.08,84.0,6.49,65.91,grapes
111.7,14.8,52.5,28.6,89.0,6.73,35.63,muskmelon
27.3,135.5,193.2,23.92,91.07,6.23,101.46,apple
35.2,74.8,17.7,32.72,67.6,6.76,71.14,blackgram
108.8,84.1,52.6,25.57,77.64,6.1,109.01,banana
109.4,26.4,33.0,25.24,68.04,6.37,124.06,coffee
36.6,137.1,200.0,21.74,91.73,5.92,103.24,apple
95.2,51.6,40.3,27.14,85.72,6.34,270.35,rice
27.9,61.0,22.5,26.96,80.53,7.02,62.47,mungbean
11.7,131.6,197.3,22.32,91.87,6.15,100.61,apple
89.9,18.3,52.0,30.28,94.64,6.87,25.15,muskmelon
17.0,62.9,14.7,23.09,23.51,5.3,96.55,kidneybeans
28.4,40.1,19.0,24.45,49.44,7.49,54.25,mothbeans
124.0,45.1,25.5,24.26,79.12,6.52,91.89,cotton
